,actors,p_UM,p_TM,p_UF,p_TF
23,Reuters,,0.8782643302896395,,
58,therussophile,0.794017102762144,0.7989632290421845,0.8750965090386389,
69,0604Arb1320,0.8582781030462392,0.7965259250479294,0.7659276019131989,
71,10DaysThatShook,0.859125774579606,0.7754133691279985,,
74,1GKh,0.8460658281210277,0.7628918927166548,,
77,1foolon1hill,0.895337450623838,0.8352360797535561,0.8751694474248639,0.7745047641928063
79,1maharg111,0.8281671103227799,0.7201833643296862,,
80,21WIRE,0.8425291893947735,0.8036624078093679,0.7083354171055192,0.8755440021129296
82,2ndNewMoon,0.8670167586577159,0.8530548151244022,,
87,55krissi55,0.8109870684913107,0.7557484908336913,0.8473808102217744,
94,90percenters,0.7507138402292901,0.8148889097296276,0.8227208786954138,
100,ABCBetterWorld,0.801964791492005,0.8245708493921518,0.8750675534245832,
101,AFireInTheNorth,0.7974128835469869,0.9290589533036193,0.8864483833141372,
108,A_Rockas,0.8461377848667768,0.8138521775755123,,0.7229370565352884
111,AbnormalAbner,0.8468774924007525,0.8073737727351222,0.8864388130246589,
117,AgainstHunting,0.8228272298790423,0.8267983962406098,,
121,AlanMcpartlands,0.8605563911125007,0.7422030712001112,,0.87213209861797
122,Alanlsg,0.8403530710816804,0.7936337055179585,,
143,AngieMeader,0.8240762988461304,0.8095622086550174,0.8752370203203865,
146,AnnabelWoky,0.8571371512685135,0.7558404517260553,,
150,Anthony18602671,0.8367199575099634,0.7420308216892766,0.699355281440178,
154,Aristilus,0.8212676990534544,0.7329844906486295,0.8616820760691548,
155,Articlefifty50,0.8197574265580245,0.8113748410004733,0.877837106304945,
162,Attaphia,0.8849029962990917,0.8027522793021157,0.8750952130255053,
165,BENEFITS_NEWS,0.7993866611590572,0.8485052283286741,0.8200531265079178,
172,BardenGridge,0.8445530613068609,0.8901524407982504,0.8750616264905364,
173,BaynesMelanie,0.8395388978440655,0.7546916177350319,,
175,BellaMagnani,0.8248969359765299,0.8587317918304788,0.8778432782129288,0.7965135085579258
176,BenTavener,,0.8250899094942317,,
179,Bernd__Neuner,0.8403341456672773,0.8346920020119369,,0.8066048576651772
186,Bill_Owen,0.8402740384726697,0.7995680911634265,0.8987549352364322,
187,BillyMontana81,0.8400652089219257,0.830334658927327,0.8918108510077019,
189,Binomo_Rebel,0.8082728599624104,0.7888371957939967,,0.7472776497155055
195,BobSmithWalker,0.8159781820010649,0.7729892500793262,,0.7611892261973608
205,BungeeWedgie,0.838584817535943,0.8931875869507847,0.7165533805120274,
211,CPMacL2008,0.8322188997713159,0.8259525234422813,,0.7924079425847511
212,CRSTAL_52,0.8751705657135611,0.8806753313263901,0.944493457235768,0.8206630665233596
213,CT4444,0.7449394190654293,0.8334694395428621,,
217,CamSchweinfickr,0.9176370682894911,0.7950402317715299,0.8987083203296324,
219,Camz99,0.8490200695032151,0.8742222297075213,,
