actor_id,actor_label,actor_type,num_users
0,twitter.com,plat,413936
1,,indv,1
2,RT_com,indv,1
3,CraigMurrayOrg,indv,1
4,Billbrowder,indv,1
5,RTUKnews,indv,1
6,NeilClark66,indv,1
7,20committee,indv,1
8,ShoebridgeC,indv,1
9,kylegriffin1,indv,1
10,Independent,indv,1
11,BBCBreaking,indv,1
12,Ian56789,indv,1
13,PrisonPlanet,indv,1
14,DrDenaGrayson,indv,1
15,guardian,indv,1
16,NatashaBertrand,indv,1
17,NBCNews,indv,1
18,KremlinTrolls,indv,1
19,CBSNews,indv,1
20,zerohedge,indv,1
21,Reuters,indv,1
22,CNN,indv,1
23,NAJ562,indv,1
24,haynesdeborah,indv,1
25,AdamParkhomenko,indv,1
26,InvestigateRU,indv,1
27,nytimes,indv,1
28,JuliaDavisNews,indv,1
29,IlvesToomas,indv,1
30,cnni,indv,1
31,RVAwonk,indv,1
32,georgegalloway,indv,1
33,lukeharding1968,indv,1
34,nytimesworld,indv,1
35,JohnWight1,indv,1
36,dgaytandzhieva,indv,1
37,Tahoesquaw1,indv,1
38,_irishrepublic,indv,1
39,SocialistVoice,indv,1
40,labourlewis,indv,1
41,thetimes,indv,1
42,BBCWorld,indv,1
43,cnnbrk,indv,1
44,MaxBlumenthal,indv,1
45,WSJ,indv,1
46,Harryslaststand,indv,1
47,DailyMailUK,indv,1
48,OffGuardian0,indv,1
49,TIME,indv,1
50,olgaNYC1211,indv,1
51,Russ_Warrior,indv,1
52,mfa_russia,indv,1
53,MSNBC,indv,1
54,evolvepolitics,indv,1
55,MoscowTimes,indv,1
56,MollyMcKew,indv,1
57,guardiannews,indv,1
58,skwawkbox,indv,1
59,BBCNews,indv,1
60,MoonofA,indv,1
61,PaulaChertok,indv,1
62,businessinsider,indv,1
63,NBCNewsWorld,indv,1
64,NPR,indv,1
65,caitoz,indv,1
66,JulianAssange,indv,1
67,CharlesOrtel,indv,1
68,TomLondon6,indv,1
69,thatginamiller,indv,1
70,AJEnglish,indv,1
71,TheEconomist,indv,1
72,VanessaBeeley,indv,1
73,juliaioffe,indv,1
74,leahmcelrath,indv,1
75,MarkUrban01,indv,1
76,Freedland,indv,1
77,guyverhofstadt,indv,1
78,GarethPorter,indv,1
79,benjaminwittes,indv,1
80,washingtonpost,indv,1
81,jelle_simons,indv,1
82,TarasKuzio,indv,1
83,yashar,indv,1
84,city_affairs,indv,1
85,dwilliam9940,indv,1
86,DefendingDemo,indv,1
87,AP,indv,1
88,Anon_decoder,indv,1
89,lauferlaw,indv,1
90,PiersRobinson1,indv,1
91,david_clarke91,indv,1
92,Hepworthclare,indv,1
93,NinaByzantina,indv,1
94,Malinka1102,indv,1
95,KenRoth,indv,1
96,PickardJE,indv,1
97,BenjaminNorton,indv,1
98,peterpobjecky,indv,1
99,observer,indv,1
100,WarmongerHodges,indv,1
101,0,comm,29460
102,1,comm,19373
103,2,comm,16903
104,3,comm,14279
105,4,comm,12864
106,5,comm,9181
107,6,comm,5603
108,7,comm,5335
109,8,comm,3342
110,9,comm,3057
111,10,comm,759
112,11,comm,687
